,,,59.731999499E-6,-172.00000584E-3,,,,,59.731999499E-6,-12.7999997E-3,
,,,59.735997638E-6,-174.00000989E-3,,,,,59.735997638E-6,-14.3999998E-3,
,,,59.739999415E-6,-176.00001395E-3,,,,,59.739999415E-6,-12.7999997E-3,
,,,59.743997554E-6,-172.00000584E-3,,,,,59.743997554E-6,-12.7999997E-3,
,,,59.747999330E-6,-172.00000584E-3,,,,,59.747999330E-6,-12.0000001E-3,
,,,59.751997469E-6,-172.00000584E-3,,,,,59.751997469E-6,-12.0000001E-3,
,,,59.755999246E-6,-172.00000584E-3,,,,,59.755999246E-6,-12.0000001E-3,
,,,59.759997384E-6,-174.00000989E-3,,,,,59.759997384E-6,-9.599999525E-3,
,,,59.763999161E-6,-172.00000584E-3,,,,,59.763999161E-6,-11.1999996E-3,
,,,59.767997300E-6,-178.00000310E-3,,,,,59.767997300E-6,-11.1999996E-3,
,,,59.771999076E-6,-174.00000989E-3,,,,,59.771999076E-6,-9.599999525E-3,
,,,59.775997215E-6,-178.00000310E-3,,,,,59.775997215E-6,-8.799999952E-3,
,,,59.779998992E-6,-176.00001395E-3,,,,,59.779998992E-6,-12.0000001E-3,
,,,59.783997131E-6,-176.00001395E-3,,,,,59.783997131E-6,-7.999999449E-3,
,,,59.787998907E-6,-176.00001395E-3,,,,,59.787998907E-6,-8.799999952E-3,
,,,59.791997046E-6,-178.00000310E-3,,,,,59.791997046E-6,-7.19999988E-3,
,,,59.795998823E-6,-176.00001395E-3,,,,,59.795998823E-6,-7.999999449E-3,
,,,59.799996961E-6,-176.00001395E-3,,,,,59.799996961E-6,-8.799999952E-3,
,,,59.803998738E-6,-178.00000310E-3,,,,,59.803998738E-6,-5.59999980E-3,
,,,59.807996877E-6,-178.00000310E-3,,,,,59.807996877E-6,-7.19999988E-3,
,,,59.811998653E-6,-176.00001395E-3,,,,,59.811998653E-6,-7.19999988E-3,
,,,59.815996792E-6,-178.00000310E-3,,,,,59.815996792E-6,-4.79999976E-3,
,,,59.819998569E-6,-178.00000310E-3,,,,,59.819998569E-6,-6.39999984E-3,
,,,59.823996708E-6,-182.00001121E-3,,,,,59.823996708E-6,-5.59999980E-3,
,,,59.827998484E-6,-182.00001121E-3,,,,,59.827998484E-6,-3.99999972E-3,
,,,59.831996623E-6,-184.00001526E-3,,,,,59.831996623E-6,-5.59999980E-3,
